2D Navier Stokes Equation Using Finite Volume Method
Solving in parallel mode
No of Processors:	 2 	 X 2 == 	 4
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	51	 Ures: 	1.0849866757e-01	 Vres: 	1.4948900129e+00	 Pres: 	1.5810835907e+00	 
Iteration no:	52	 Ures: 	1.0864721989e-01	 Vres: 	1.4034517385e+00	 Pres: 	1.4555116444e+00	 
Iteration no:	53	 Ures: 	1.0846779591e-01	 Vres: 	1.3050133653e+00	 Pres: 	1.3421466728e+00	 
Iteration no:	54	 Ures: 	1.0792453937e-01	 Vres: 	1.2074007166e+00	 Pres: 	1.2447268179e+00	 
Iteration no:	55	 Ures: 	1.0699410711e-01	 Vres: 	1.1199617921e+00	 Pres: 	1.1656155567e+00	 
Iteration no:	56	 Ures: 	1.0567010618e-01	 Vres: 	1.0531791184e+00	 Pres: 	1.1073705086e+00	 
Iteration no:	57	 Ures: 	1.0395497819e-01	 Vres: 	1.0167946571e+00	 Pres: 	1.0700202737e+00	 
Iteration no:	58	 Ures: 	1.0186285494e-01	 Vres: 	1.0168947060e+00	 Pres: 	1.0535091263e+00	 
Iteration no:	59	 Ures: 	9.9413556190e-02	 Vres: 	1.0535063367e+00	 Pres: 	1.0548859158e+00	 
Iteration no:	60	 Ures: 	9.6634294369e-02	 Vres: 	1.1206035979e+00	 Pres: 	1.0717814213e+00	 
Iteration no:	61	 Ures: 	9.3556098627e-02	 Vres: 	1.2091375938e+00	 Pres: 	1.0998942459e+00	 
Iteration no:	62	 Ures: 	9.0214611288e-02	 Vres: 	1.3096038554e+00	 Pres: 	1.1364887261e+00	 
Iteration no:	63	 Ures: 	8.6648999811e-02	 Vres: 	1.4140881550e+00	 Pres: 	1.1778299640e+00	 
Iteration no:	64	 Ures: 	8.2901948718e-02	 Vres: 	1.5162252522e+00	 Pres: 	1.2219311515e+00	 
Iteration no:	65	 Ures: 	7.9020932291e-02	 Vres: 	1.6115470376e+00	 Pres: 	1.2661425578e+00	 
Iteration no:	66	 Ures: 	7.5057376791e-02	 Vres: 	1.6966903382e+00	 Pres: 	1.3092029131e+00	 
Iteration no:	67	 Ures: 	7.1069986371e-02	 Vres: 	1.7696286944e+00	 Pres: 	1.3493045672e+00	 
Iteration no:	68	 Ures: 	6.7122858418e-02	 Vres: 	1.8289481916e+00	 Pres: 	1.3856014073e+00	 
Iteration no:	69	 Ures: 	6.3290187727e-02	 Vres: 	1.8741814609e+00	 Pres: 	1.4168283896e+00	 
Iteration no:	70	 Ures: 	5.9652531017e-02	 Vres: 	1.9051821548e+00	 Pres: 	1.4423440235e+00	 
Iteration no:	71	 Ures: 	5.6301128422e-02	 Vres: 	1.9225071187e+00	 Pres: 	1.4612523029e+00	 
Iteration no:	72	 Ures: 	5.3329994057e-02	 Vres: 	1.9268492953e+00	 Pres: 	1.4730356691e+00	 
Iteration no:	73	 Ures: 	5.0836158837e-02	 Vres: 	1.9194268071e+00	 Pres: 	1.4770977604e+00	 
Iteration no:	74	 Ures: 	4.8904248055e-02	 Vres: 	1.9014548057e+00	 Pres: 	1.4730429738e+00	 
Iteration no:	75	 Ures: 	4.7600535643e-02	 Vres: 	1.8745225281e+00	 Pres: 	1.4605625947e+00	 
Iteration no:	76	 Ures: 	4.6953838110e-02	 Vres: 	1.8400993242e+00	 Pres: 	1.4394169658e+00	 
Iteration no:	77	 Ures: 	4.6953500933e-02	 Vres: 	1.7998914091e+00	 Pres: 	1.4095995176e+00	 
Iteration no:	78	 Ures: 	4.7542822672e-02	 Vres: 	1.7553844367e+00	 Pres: 	1.3710735638e+00	 
Iteration no:	79	 Ures: 	4.8633133197e-02	 Vres: 	1.7081760720e+00	 Pres: 	1.3241620425e+00	 
Iteration no:	80	 Ures: 	5.0111865282e-02	 Vres: 	1.6595612110e+00	 Pres: 	1.2690850477e+00	 
Iteration no:	81	 Ures: 	5.1861275169e-02	 Vres: 	1.6108389101e+00	 Pres: 	1.2065373336e+00	 
Iteration no:	82	 Ures: 	5.3765037061e-02	 Vres: 	1.5629491019e+00	 Pres: 	1.1370678875e+00	 
Iteration no:	83	 Ures: 	5.5718585654e-02	 Vres: 	1.5167550111e+00	 Pres: 	1.0618247440e+00	 
Iteration no:	84	 Ures: 	5.7629207612e-02	 Vres: 	1.4727420445e+00	 Pres: 	9.8181899484e-01	 
Iteration no:	85	 Ures: 	5.9419365745e-02	 Vres: 	1.4312787735e+00	 Pres: 	8.9884311543e-01	 
Iteration no:	86	 Ures: 	6.1024205584e-02	 Vres: 	1.3923865710e+00	 Pres: 	8.1467724800e-01	 
Iteration no:	87	 Ures: 	6.2392134247e-02	 Vres: 	1.3559802086e+00	 Pres: 	7.3222591975e-01	 
Iteration no:	88	 Ures: 	6.3482512766e-02	 Vres: 	1.3217079004e+00	 Pres: 	6.5473278968e-01	 
